fold,role,SampleID,Site
4,fit,3-7,DGD
4,fit,4-7,DGD
4,fit,1-8,DGJ
4,fit,2-8,DGJ
4,fit,3-8,DGJ
4,fit,4-8,DGJ
4,fit,1-9,DGB
4,fit,2-9,DGB
4,fit,3-9,DGB
4,fit,4-9,DGB
4,fit,1-10,DGC
4,fit,3-10,DGC
4,fit,4-10,DGC
4,fit,1-14,USJ
4,fit,2-14,USJ
4,fit,3-14,USJ
4,fit,4-14,USJ
4,fit,1-16,GCG
4,fit,2-16,GCG
4,fit,3-16,GCG
4,fit,4-16,GCG
4,fit,1-18,ADA
4,fit,2-18,ADA
4,fit,3-18,ADA
4,fit,4-18,ADA
4,fit,1-20,YCG
4,fit,2-20,YCG
4,fit,3-20,YCG
4,fit,1-21,YCD
4,fit,2-21,YCD
4,fit,3-21,YCD
4,fit,4-21,YCD
4,fit,1-23,CGS
4,fit,2-23,CGS
4,fit,3-23,CGS
4,fit,4-23,CGS
4,fit,1-24,GHGa
4,fit,2-24,GHGa
4,fit,3-24,GHGa
4,fit,1-25,GHGb
4,fit,2-25,GHGb
4,fit,3-25,GHGb
4,fit,4-25,GHGb
4,fit,1-28,MYS
4,fit,2-28,MYS
4,fit,3-28,MYS
4,fit,4-28,MYS
4,fit,1-30,YSD
4,fit,2-30,YSD
4,fit,3-30,YSD
4,fit,4-30,YSD
4,fit,1-31,YSY
4,fit,2-31,YSY
4,fit,3-31,YSY
4,fit,4-31,YSY
4,fit,1-32,JJN
4,fit,2-32,JJN
4,fit,3-32,JJN
4,fit,4-32,JJN
4,fit,3-32',JJY
4,fit,4-32',JJY
4,fit,1-33,CWM
4,fit,2-33,CWM
4,fit,3-33,CWM
4,fit,4-33,CWM
4,fit,1-34,CWS
4,fit,2-34,CWS
4,fit,3-34,CWS
4,fit,4-34,CWS
4,validation,1-1,BSS
4,validation,2-1,BSS
4,validation,3-1,BSS
4,validation,4-1,BSS
4,validation,1-5,BSE
4,validation,2-5,BSE
4,validation,3-5,BSE
4,validation,4-5,BSE
4,validation,1-13,USY
4,validation,2-13,USY
4,validation,3-13,USY
4,validation,4-13,USY
4,validation,1-19,ADP
4,validation,2-19,ADP
4,validation,3-19,ADP
4,validation,1-22,UJG
4,validation,2-22,UJG
4,validation,4-22,UJG
4,validation,1-27,GHJ
4,validation,2-27,GHJ
4,validation,3-27,GHJ
4,validation,4-27,GHJ
5,fit,1-1,BSS
5,fit,2-1,BSS
5,fit,3-1,BSS
5,fit,4-1,BSS
5,fit,1-2,BSN
5,fit,2-2,BSN
5,fit,3-2,BSN
5,fit,4-2,BSN
5,fit,1-3,BSI
5,fit,2-3,BSI
5,fit,3-3,BSI
5,fit,4-3,BSI
5,fit,1-5,BSE
5,fit,2-5,BSE
5,fit,3-5,BSE
5,fit,4-5,BSE
5,fit,1-8,DGJ
5,fit,2-8,DGJ
5,fit,3-8,DGJ
5,fit,4-8,DGJ
5,fit,1-9,DGB
5,fit,2-9,DGB
5,fit,3-9,DGB
5,fit,4-9,DGB
5,fit,1-13,USY
5,fit,2-13,USY
5,fit,3-13,USY
5,fit,4-13,USY
5,fit,1-14,USJ
5,fit,2-14,USJ
5,fit,3-14,USJ
5,fit,4-14,USJ
5,fit,1-16,GCG
5,fit,2-16,GCG
5,fit,3-16,GCG
5,fit,4-16,GCG
5,fit,1-18,ADA
5,fit,2-18,ADA
5,fit,3-18,ADA
5,fit,4-18,ADA
5,fit,1-19,ADP
5,fit,2-19,ADP
5,fit,3-19,ADP
5,fit,1-20,YCG
5,fit,2-20,YCG
5,fit,3-20,YCG
5,fit,1-21,YCD
5,fit,2-21,YCD
5,fit,3-21,YCD
5,fit,4-21,YCD
5,fit,1-22,UJG
5,fit,2-22,UJG
5,fit,4-22,UJG
5,fit,1-24,GHGa
5,fit,2-24,GHGa
5,fit,3-24,GHGa
5,fit,1-27,GHJ
5,fit,2-27,GHJ
5,fit,3-27,GHJ
5,fit,4-27,GHJ
5,fit,1-28,MYS
5,fit,2-28,MYS
5,fit,3-28,MYS
5,fit,4-28,MYS
5,fit,1-30,YSD
5,fit,2-30,YSD
5,fit,3-30,YSD
5,fit,4-30,YSD
5,fit,1-31,YSY
5,fit,2-31,YSY
5,fit,3-31,YSY
5,fit,4-31,YSY
5,fit,1-32,JJN
5,fit,2-32,JJN
5,fit,3-32,JJN
5,fit,4-32,JJN
5,fit,1-33,CWM
5,fit,2-33,CWM
5,fit,3-33,CWM
5,fit,4-33,CWM
5,fit,1-34,CWS
5,fit,2-34,CWS
5,fit,3-34,CWS
5,fit,4-34,CWS
5,validation,1-4,BSO
5,validation,2-4,BSO
5,validation,3-4,BSO
5,validation,4-4,BSO
5,validation,1-7,DGD
5,validation,2-7,DGD
5,validation,3-7,DGD
5,validation,4-7,DGD
5,validation,1-10,DGC
5,validation,3-10,DGC
5,validation,4-10,DGC
5,validation,1-23,CGS
5,validation,2-23,CGS
5,validation,3-23,CGS
5,validation,4-23,CGS
5,validation,1-25,GHGb
5,validation,2-25,GHGb
5,validation,3-25,GHGb
5,validation,4-25,GHGb
5,validation,3-32',JJY
5,validation,4-32',JJY
