SampleID,Site,SiteGroup,Season,split,cv_validation_fold
2-27,GHJ,GHJ,Fall,train,2
3-27,GHJ,GHJ,Winter,train,2
4-27,GHJ,GHJ,Spring,train,2
1-28,MYS,MYS,Summer,test,0
2-28,MYS,MYS,Fall,test,0
3-28,MYS,MYS,Winter,test,0
4-28,MYS,MYS,Spring,test,0
1-29,SCH,SCH,Summer,train,3
2-29,SCH,SCH,Fall,train,3
3-29,SCH,SCH,Winter,train,3
4-29,SCH,SCH,Spring,train,3
1-30,YSD,YSD,Summer,train,3
2-30,YSD,YSD,Fall,train,3
3-30,YSD,YSD,Winter,train,3
4-30,YSD,YSD,Spring,train,3
1-31,YSY,YSY,Summer,train,3
2-31,YSY,YSY,Fall,train,3
3-31,YSY,YSY,Winter,train,3
4-31,YSY,YSY,Spring,train,3
1-32,JJN,JJN,Summer,train,5
2-32,JJN,JJN,Fall,train,5
3-32,JJN,JJN,Winter,train,5
4-32,JJN,JJN,Spring,train,5
2-32',JJY,JJY,Fall,train,2
3-32',JJY,JJY,Winter,train,2
4-32',JJY,JJY,Spring,train,2
1-33,CWM,CWM,Summer,train,2
2-33,CWM,CWM,Fall,train,2
3-33,CWM,CWM,Winter,train,2
4-33,CWM,CWM,Spring,train,2
1-34,CWS,CWS,Summer,train,5
2-34,CWS,CWS,Fall,train,5
3-34,CWS,CWS,Winter,train,5
4-34,CWS,CWS,Spring,train,5
