SampleID,Q_total_Tpy,substrate_avg_pH,substrate_avg_ALK,substrate_avg_VS,substrate_avg_COD,substrate_avg_sCOD,substrate_avg_TC,substrate_avg_Protein,substrate_avg_Lipid,substrate_avg_TVFAs,substrate_avg_HAc,substrate_avg_HPro,HRT_d,T_C,eff_pH,eff_VS,eff_TC,eff_Lipid,eff_COD,eff_sCOD,eff_CH4,eff_H2S,eff_protein,substrate_type,ARC__Phylum__Halobacterota,ARC__Phylum__Euryarchaeota,ARC__Phylum__unidentified,ARC__Phylum__Thermoplasmatota,ARC__Phylum__Crenarchaeota,ARC__Phylum__Nanoarchaeota,ARC__Phylum__Micrarchaeota,ARC__Phylum__Asgardarchaeota,ARC__Phylum__Mollusca,ARC__Phylum__Vertebrata,ARC__Genus__Methanosaeta,ARC__Genus__Methanoculleus,ARC__Genus__Methanospirillum,ARC__Genus__Methanolinea,ARC__Genus__Candidatus_Methanofastidiosum,ARC__Genus__unidentified,ARC__Genus__Methanosarcina,ARC__Genus__Methanomassiliicoccus,ARC__Genus__Candidatus_Methanoplasma,ARC__Genus__Methanosphaerula,ARC__Genus__Methanoregula,ARC__Genus__Methanomethylovorans,ARC__Genus__Methanimicrococcus,ARC__Genus__RumEn_M2,ARC__Genus__Woesearchaeales,ARC__Genus__Bathyarchaeia,BAC__Phylum__Firmicutes,BAC__Phylum__Bacteroidota,BAC__Phylum__Cloacimonadota,BAC__Phylum__Proteobacteria,BAC__Phylum__Desulfobacterota,BAC__Phylum__Chloroflexi,BAC__Phylum__Spirochaetota,BAC__Phylum__Thermotogota,BAC__Phylum__Synergistota,BAC__Phylum__Actinobacteriota,BAC__Genus__unidentified,BAC__Genus__Fastidiosipila,BAC__Genus__Candidatus_Cloacimonas,BAC__Genus__ST-12K33,BAC__Genus__Sedimentibacter,BAC__Genus__Bacteroidetes_vadinHA17,BAC__Genus__DTU014,BAC__Genus__SBR1031,BAC__Genus__Smithella,BAC__Genus__W5,BAC__Genus__Mesotoga,BAC__Genus__Proteiniphilum,BAC__Genus__W27,BAC__Genus__Syntrophomonas,BAC__Genus__Thermovirga,BAC__Genus__Lentimicrobium,Site,Season,target
2-4,559071.0,5.19,0.0,21.55,33.78,4.9,6.32,10.155,2.33,0.72,0.56,0.13,18.0,37.3,7.34,12.6,3.02,1.85,17.85,0.3,62.78,0.103,6.510184375,MSC+Fww,77.869,17.385,0.0,4.181,0.085,0.479,0.0,0.0,0.0,0.0,42.185,1.33,26.896,2.809,17.385,2.255,0.0,3.883,0.0,0.0,0.0,2.692,0.0,0.0,0.0,0.0,25.377,23.606,11.198,12.841,3.712,12.184,4.294,0.831,0.804,0.877,39.755,0.084,10.204,1.09,4.859,3.574,3.468,8.025,1.721,0.582,0.394,0.028,0.0,1.708,0.041,0.307,BSO,Fall,0.016680567139282735
3-4,559071.0,4.88,0.458,22.12,40.88,9.3,15.190000000000001,19.4,4.83,1.52,1.4,0.1,18.0,37.3,7.07,12.1,4.48,2.0,19.21,0.5,57.0,0.158,12.2948790625,MSC+Fww,77.25800000000001,19.365,0.062,2.922,0.34,0.054,0.0,0.0,0.0,0.0,38.735,1.399,22.287,8.097000000000001,19.365,6.238,0.058,2.609,0.0,0.085,0.332,0.406,0.0,0.0,0.0,0.29,25.184,21.664,16.347,13.75,5.081,3.489,4.739,1.288,1.524,1.054,35.512,0.093,15.362,0.05,3.801,2.715,3.107,2.079,3.281,0.38,0.345,0.0,0.167,0.6859999999999999,0.089,0.504,BSO,Winter,0.06643356643356643
4-4,559071.0,5.05,1.1275,31.65,58.95,13.4,20.41,17.91,4.05,0.37,0.31,0.05,18.0,37.3,7.2,10.13,2.44,1.3,15.47,0.4,63.8,0.168,8.131874999999999,MSC+Fww,73.716,22.429,0.136,3.184,0.324,0.048,0.164,0.0,0.0,0.0,23.153,0.44,18.473,27.883,22.429,3.314,0.0,2.865,0.0,0.415,0.29,0.203,0.0,0.0,0.0,0.324,22.548,21.948,17.499,15.33,4.191000000000001,3.083,4.609,1.59,1.32,1.977,34.694,0.148,16.038,0.816,5.485,3.785,2.404,2.302,2.826,0.797,0.33,0.091,0.14,2.182,0.057,0.432,BSO,Spring,0.0
1-5,590951.0,6.056190648632459,0.45651909278434255,28.090644046629926,50.163194579584435,0.7002927484681472,11.968881142429744,15.468041709041866,1.7814866037962538,0.6084319850545984,0.3665126719474203,0.14642484740697623,26.0,34.1,7.19,14.58,4.04,1.38,26.99,10.9,60.7,0.006,10.24726375,1SC/2SC,63.397,28.474,2.896,2.979,0.845,0.8340000000000001,0.573,0.0,0.0,0.0,27.041,1.315,16.548,13.442,28.474,5.294,0.479,1.849,0.016,1.173,0.756,1.335,0.0,0.0,0.032,0.767,12.778,25.745,23.733,14.949,6.492,0.839,4.012,1.221,1.915,1.755,30.781,0.099,22.914,3.437,3.291,3.616,0.529,0.302,2.999,0.471,0.821,0.041,0.278,0.5700000000000001,0.81,0.315,BSE,Summer,0.0031347962382445144
2-5,590951.0,6.337121030339232,0.14736190648632458,25.42491900343683,38.572150719772026,0.6183148856673397,7.097056067254307,12.354975825406845,2.044388434912539,0.0,0.0,0.0,26.0,34.1,7.49,14.85,3.8,2.2,22.63,0.4,65.06,0.001,8.292889375000001,1SC/2SC,72.907,16.19,0.8570000000000001,3.539,2.976,1.87,1.659,0.0,0.0,0.0,29.515,1.917,10.781,20.881,16.19,3.548,1.004,1.926,0.0,1.262,0.0,2.949,0.0,0.0,0.691,1.281,12.652,28.095,11.636,18.045,6.441,1.683,5.472,2.479,1.223,2.275,36.11,0.042,8.809,1.373,4.052,4.692,0.341,0.179,2.268,0.681,1.553,0.0,1.615,0.273,0.302,0.934,BSE,Fall,0.0
3-5,590951.0,6.067150305186048,0.42268932449560115,28.791206682110705,55.735710253472796,0.7501463742340736,22.905166028993943,26.83931302256871,2.62517244238524,0.0036337022866532085,0.0036337022866532085,0.0,26.0,34.1,7.34,13.1,5.33,2.07,25.74,0.6,61.4,0.008,13.261363437500002,1SC/2SC,65.102,27.607,0.347,2.834,1.322,1.388,1.198,0.0,0.0,0.0,28.211,2.24,15.254,18.12,27.607,2.296,0.0,1.557,0.0,0.19,0.0,0.381,0.0,0.0,0.246,0.65,15.868,25.184,20.842,11.139,5.312,0.793,2.694,6.935,3.897,1.128,30.377,0.032,18.097,8.672,3.738,2.079,0.364,0.385,2.671,0.527,4.029,0.0,1.19,0.193,0.5630000000000001,0.535,BSE,Winter,0.0023248785250970633
4-5,590951.0,5.8688354195187085,0.7995787214168348,26.935299576445423,41.3754395372882,1.027618702735083,7.982667632341768,17.917482363173935,3.095640839934275,0.038197786280080755,0.038197786280080755,0.0,26.0,34.1,7.34,16.65,4.57,2.6,26.73,0.6,63.62,0.009,12.865624999999998,1SC/2SC,74.564,22.945,0.062,1.202,0.594,0.067,0.437,0.0,0.0,0.0,25.893,1.364,13.782,24.849,22.945,9.699,0.0,0.0,0.0,0.0,0.195,0.046,0.0,0.0,0.067,0.582,15.441,24.648,6.262,20.835,4.562,1.215,1.756,10.748,6.037,1.941,39.457,0.298,5.095,3.395,3.345,2.562,0.341,0.235,2.251,0.312,6.005,0.0,0.42,0.319,1.594,0.185,BSE,Spring,0.0
1-6,14645.0,6.6,5.7925,19.230000000000004,44.32,15.1,6.110000000000001,8.848,2.0,0.38,0.19,0.07,40.0,38.0,7.83,14.55,4.94,2.03,53.01,3.3,65.25,1.184,7.19685625,FW+HM+Aww,69.938,22.894,4.524,1.491,0.78,0.264,0.111,0.0,0.0,0.0,16.219,41.906,9.546,0.149,22.894,5.026,0.669,0.7190000000000001,0.294,0.229,0.237,0.245,0.0,0.138,0.0,0.379,57.253,27.379,3.842,0.971,2.044,0.15,0.173,0.0,1.087,0.45,13.725,18.313,3.421,16.332,1.058,1.02,4.271,0.0,0.604,0.0,0.0,0.763,0.0,2.764,0.976,0.174,DGG,Summer,0.0026942074539739558
2-6,14645.0,6.74,0.797,16.05,28.87,13.3,5.91,6.239,2.2,4.98,2.34,1.15,40.0,38.0,8.16,7.33,1.59,1.5,12.12,3.2,49.3,0.014,4.951962499999999,FW+HM+Aww,79.847,16.611,0.0,2.46,1.08,0.0,0.0,0.0,0.0,0.0,41.67,12.902,21.795,0.0,16.611,0.8400000000000001,1.764,1.02,0.876,0.408,0.0,0.216,0.0,0.24,0.0,0.348,57.586,31.887,0.9410000000000001,1.415,1.557,0.3,0.478,0.027,0.567,0.966,15.368,13.804,0.251,20.807,3.008,0.872,1.972,0.0,0.529,0.0,0.027,0.895,0.273,1.952,0.485,0.663,DGG,Fall,0.01375831231368952
3-6,14645.0,7.76,4.5125,22.87,90.55,31.9,11.5,8.29,2.1,5.3,2.3,0.8,40.0,38.0,7.99,3.02,0.35,1.765,20.5,2.7,65.1,0.042,8.285982250000002,FW+HM+Aww,65.25800000000001,22.913,6.218,3.853,1.183,0.575,0.0,0.0,0.0,0.0,29.993,22.44,11.913,0.0,22.913,6.37,0.0,1.757,1.876,0.0,0.0,0.338,0.0,0.22,0.0,1.132,47.983,37.916,0.327,0.637,1.351,0.48,2.875,0.0,0.904,0.293,19.209,9.525,0.323,26.255,1.814,0.692,3.965,0.0,0.591,0.0,0.0,1.874,0.004,1.61,0.777,0.506,DGG,Winter,0.0
4-6,14645.0,6.79,9.044,27.88,68.76,24.2,14.6,13.81,3.1,5.45,2.33,1.1599999999999997,40.0,38.0,7.99,12.43,4.5,0.35,19.79,2.6,57.9,0.11,11.266875,FW+HM+Aww,76.343,22.222,0.398,0.488,0.5489999999999999,0.0,0.0,0.0,0.0,0.0,26.996,42.971,3.612,0.854,22.222,0.483,0.863,0.488,0.0,0.128,0.0,0.218,0.0,0.0,0.0,0.412,53.348,34.646,0.452,0.5479999999999999,0.615,0.259,0.293,0.0,0.348,0.626,18.356,9.906,0.408,26.199,1.378,0.8009999999999999,4.256,0.033,0.137,0.044,0.0,1.553,0.0,1.363,0.348,0.237,DGG,Spring,0.0
1-7,472558.0,6.65,0.856,15.95,20.72,0.2,6.1,7.936,2.2,0.07,0.07,0.0,22.6,35.0,6.98,14.72,4.78,2.32,17.44,0.2,65.8,0.002,7.4345493750000005,MSC+HM,73.206,14.823,4.109,4.179,0.8350000000000001,2.73,0.0,0.12,0.0,0.0,36.26600000000001,0.269,4.86,9.094999999999999,14.823,8.535,0.086,2.841,0.0,0.541,18.624,0.383,0.0,0.0,0.105,0.399,8.024,31.499,1.838,21.814,8.01,5.27,4.987,0.333,0.5,1.937,26.624,0.024,0.256,0.024,0.207,13.858,4.258,0.295,3.497,0.0,0.0,0.0,0.251,0.047,0.031,0.373,DGD,Summer,0.0
2-7,472558.0,6.31,0.0805,17.3,27.11,2.1,1.27,4.82,2.17,0.32,0.11,0.12,22.6,35.0,7.11,12.27,2.37,1.5,27.87,1.0,63.3,0.002,5.810303125000001,MSC+HM,64.797,12.901,0.189,15.838,4.296,1.978,0.0,0.0,0.0,0.0,9.891,0.0,22.477,18.444,12.901,15.27,0.781,3.44,0.0,0.328,8.681,1.499,0.0,0.0,0.164,1.197,9.441,22.998,6.957,11.021,7.505,3.065,19.783,0.811,0.791,1.597,31.821,0.0,4.302,0.063,0.04,8.612,4.323,0.4339999999999999,2.882,0.037,0.02,0.0,1.061,0.929,0.049,0.6779999999999999,DGD,Fall,0.026490066225165563
3-7,472558.0,6.22,0.302,28.78,49.17,1.2,22.92,11.8,5.7,0.03,0.02,0.01,22.6,35.0,7.43,13.4,6.25,2.28,24.8,0.3,64.4,0.0,11.796905875,MSC+HM,69.682,20.705,1.421,2.078,4.714,1.4,0.0,0.0,0.0,0.0,33.348,0.0,16.898,18.955,20.705,2.591,0.0,1.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,15.442,14.01,18.477,9.976,6.199,4.416,12.961,2.813,0.642,1.328,27.525,0.043,10.17,0.0,2.137,4.683,8.333,1.222,2.628,0.043,0.101,0.0,1.201,0.616,0.186,0.394,DGD,Winter,0.006119951040391677
4-7,472558.0,6.349032224615814,0.6793545003999508,24.51559478413232,39.52903696477469,0.9612904659322242,14.089463959979517,15.401937476457915,2.4268819912053123,0.0,0.0,0.0,22.6,35.0,7.37,12.75,4.13,0.9,19.99,0.2,62.4,0.002,10.233749999999999,MSC/HM,75.925,23.193,0.0,0.881,0.0,0.0,0.0,0.0,0.0,0.0,33.154,0.363,13.9,23.798,23.193,3.702,0.0,0.577,0.0,1.312,0.0,0.0,0.0,0.0,0.0,0.0,17.817,25.489,16.988,12.56,5.633999999999999,1.937,5.943,2.789,1.356,2.045,35.028,0.164,15.045,0.135,8.674,5.019,3.328,0.114,2.491,0.643,0.056,0.296,0.745,1.189,0.423,0.391,DGD,Spring,0.0
1-8,694137.0,5.915172984583735,,24.165641321525865,35.68516985839971,9.482391804499688,12.058587209729492,8.244452750681782,4.526770623090255,0.04257977891972334,0.04619281208176484,0.0,14.4,35.1,7.24,11.2,3.65,0.88,15.41,0.5,62.2,0.001,5.572611875,MSC/Fww,77.56700000000001,13.683,3.019,4.691,0.828,0.163,0.004,0.02,0.0,0.0,20.494,0.229,27.381,25.46,13.683,4.824,0.286,3.739,0.0,0.249,2.307,0.328,0.0,0.0,0.061,0.533,26.092,24.105,9.119,5.854,9.67,9.822,2.204,3.179,2.624,0.844,33.34,0.138,6.393,0.243,6.19,6.118,6.48,3.947,5.849,0.236,0.881,0.159,1.388,1.913,0.21,0.184,DGJ,Summer,0.0
2-8,694137.0,5.081684912344394,0.020071078187735274,31.525108444010336,48.193898048944234,9.621780426630478,4.4686342033345,9.044369100047973,3.4806872850748483,1.6592925748087195,1.3775518953751205,0.13386966837958503,14.4,35.1,7.56,10.23,1.7,1.53,21.26,1.0,57.0,0.005,6.685228125000001,MSC/Fww,70.553,16.493,0.0,11.266,1.139,0.548,0.0,0.0,0.0,0.0,13.195,1.063,30.356,10.795,16.493,18.301,0.0,4.888,0.0,0.427,2.323,0.471,0.0,0.0,0.0,0.942,20.699,20.731,10.937,2.943,2.765,18.248,13.249,3.771,1.192,0.416,30.892,0.089,8.61,2.067,9.270999999999999,2.535,5.022,16.806,0.226,1.177,2.109,0.734,0.664,1.251,0.035,0.6679999999999999,DGJ,Fall,0.354552780016116
3-8,694137.0,5.896456160671453,0.3853737994084741,17.618437988466255,30.73300630855292,1.6232314370217984,33.31835895507659,10.801907980701216,9.236607975082729,0.13593617686422133,0.04935505527006916,0.047226066324083,14.4,35.1,7.53,8.18,3.1,1.28,91.71,37.3,55.7,0.003,9.363841749999999,MSC/Fww,77.143,18.247,0.925,3.133,0.0,0.552,0.0,0.0,0.0,0.0,29.172,1.461,28.734,12.37,18.247,6.866000000000001,0.0,2.419,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,16.8,18.504,15.162,3.601,3.816,23.722,4.467000000000001,5.779,2.669,0.349,25.052,0.0,13.952,0.159,2.743,2.549,1.753,22.207,2.537,0.538,1.43,0.0,0.211,1.507,0.116,1.74,DGJ,Winter,0.6416772554002541
4-8,694137.0,5.4297500781546,,25.271983887906856,49.15995041324695,8.72115562201698,12.567482701541627,13.859091706680381,3.686442733927164,0.3513523699212115,0.21754518200297637,0.0708390994861245,14.4,35.1,7.33,11.93,3.73,1.65,18.51,0.9,59.2,0.001,5.2684375,MSC/Fww,79.98599999999999,18.902,0.141,0.0,0.489,0.061,0.419,0.0,0.0,0.0,24.837,1.02,25.581,27.829,18.902,0.752,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.061,0.353,19.665,17.643,19.971,4.934,7.949000000000001,12.724,1.982,4.237,4.046,1.071,23.51,0.113,17.373,3.902,4.337,4.69,4.036,10.09,4.93,0.417,0.295,0.152,1.022,2.141,0.332,0.596,DGJ,Spring,0.0
1-9,72778.0,4.14,,21.75,43.49,15.600000000000001,18.4,7.684999999999999,3.83,2.49,2.39,0.2,39.0,36.2,8.05,26.05,8.1,2.52,50.3,16.3,59.5,0.068,19.543756249999998,FW,91.379,0.144,5.532,2.876,0.069,0.0,0.0,0.0,0.0,0.0,0.453,70.057,0.205,0.052,0.144,5.532,0.292,1.769,1.107,0.0,0.0,0.03,20.29,0.0,0.0,0.069,60.781,32.653,0.827,1.325,0.0,0.0,0.14,0.935,1.599,0.279,22.0,10.972,0.0,0.061,0.571,0.0,1.619,0.0,0.0,0.0,0.0,15.221,0.827,6.266,0.0,2.779,DGB,Summer,0.0036085450346420326
