SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,F00035,F00036,F00037,F00038,F00039,F00040,F00041,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-18,0.0,39.0,0.0,39.0,72.0,53.0,0.0,28.0,0.0,119.0,59.0,0.0,0.0,87.0,321.0,29.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,8481.0,0.0,8.0,17.0,517.0,2616.0,0.0,0.0,0.0,42.0,30.0,49.0,0.0,0.0,0.0,0.0,42.0,1.0,0,0,0,0,0
1-19,37.0,29.0,0.0,38.0,92.0,0.0,0.0,49.0,0.0,0.0,31.0,0.0,957.0,0.0,20479.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,96.0,0.0,0.0,32.0,0.0,58.0,0.0,0.0,0.0,53.0,43.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,0,0,0,0
1-2,13.0,15.0,0.0,0.0,50.0,0.0,0.0,18.0,0.0,27.0,1327.0,0.0,0.0,0.0,150.0,0.0,5131.0,0.0,0.0,0.0,95.0,189.0,0.0,0.0,166.0,0.0,5056.0,8.0,31.0,760.0,0.0,157.0,6.0,27.0,32.0,44.0,0.0,0.0,0.0,0.0,23.0,0.0,0,0,0,0,0
1-20,41.0,59.0,0.0,60.0,151.0,0.0,0.0,73.0,0.0,0.0,105.0,0.0,97.0,0.0,11083.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,8029.0,0.0,21.0,22.0,0.0,203.0,0.0,0.0,0.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0,1,1,0,0
1-21,31.0,33.0,0.0,41.0,81.0,0.0,0.0,45.0,9.0,39.0,4637.0,0.0,0.0,0.0,71.0,192.0,196.0,0.0,4171.0,28.0,201.0,17.0,0.0,0.0,7932.0,0.0,0.0,31.0,115.0,2126.0,0.0,0.0,0.0,54.0,49.0,0.0,0.0,66.0,33.0,12.0,54.0,0.0,0,0,0,0,0
1-22,34.0,58.0,0.0,70.0,134.0,0.0,342.0,62.0,0.0,109.0,51.0,0.0,79.0,0.0,261.0,32.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,5919.0,0.0,0.0,1978.0,0.0,21005.0,504.0,0.0,0.0,93.0,69.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,0,1,0,0
1-23,0.0,36.0,0.0,29.0,67.0,0.0,2.0,31.0,7.0,71.0,3096.0,0.0,0.0,0.0,1214.0,569.0,0.0,0.0,0.0,0.0,205.0,234.0,3.0,14.0,3006.0,4.0,730.0,22.0,154.0,6495.0,0.0,92.0,0.0,40.0,66.0,167.0,0.0,147.0,0.0,19.0,61.0,0.0,0,0,0,0,0
1-24,0.0,47.0,0.0,40.0,59.0,0.0,0.0,39.0,0.0,11.0,1099.0,0.0,0.0,0.0,62.0,198.0,3422.0,3.0,119.0,0.0,54.0,0.0,0.0,0.0,2755.0,0.0,0.0,24.0,30.0,1471.0,0.0,0.0,6.0,44.0,45.0,0.0,14.0,0.0,0.0,0.0,53.0,0.0,0,0,0,0,0
1-25,0.0,40.0,0.0,37.0,52.0,0.0,0.0,34.0,0.0,0.0,2965.0,0.0,0.0,158.0,141.0,8911.0,36.0,0.0,0.0,0.0,472.0,25.0,0.0,0.0,1188.0,0.0,6.0,0.0,18.0,335.0,0.0,0.0,0.0,31.0,51.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0,0,0,0,0
1-26,32.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,778.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,529.0,23.0,2106.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1-27,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,59.0,0.0,1610.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0,0,1,0,0
1-28,28.0,43.0,0.0,40.0,81.0,0.0,17.0,30.0,0.0,0.0,454.0,0.0,340.0,0.0,3543.0,24.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,4796.0,0.0,7.0,43.0,0.0,2774.0,19.0,0.0,0.0,62.0,58.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0,1,1,0,0
1-29,0.0,6.0,0.0,0.0,49.0,79.0,3.0,29.0,0.0,53.0,1978.0,0.0,0.0,0.0,195.0,3219.0,212.0,0.0,0.0,0.0,88.0,71.0,0.0,0.0,1495.0,0.0,356.0,16.0,18.0,1627.0,0.0,65.0,0.0,25.0,41.0,88.0,0.0,0.0,0.0,0.0,35.0,0.0,0,0,0,0,0
1-3,116.0,144.0,1.0,186.0,390.0,0.0,0.0,201.0,0.0,276.0,7946.0,0.0,85.0,24.0,788.0,1730.0,1276.0,0.0,0.0,0.0,102.0,78.0,0.0,11.0,3766.0,0.0,8828.0,111.0,454.0,3488.0,0.0,145.0,0.0,253.0,210.0,0.0,0.0,0.0,0.0,0.0,253.0,2.0,0,0,0,0,0
1-30,0.0,16.0,0.0,0.0,92.0,0.0,0.0,36.0,23.0,12.0,3211.0,0.0,0.0,0.0,76.0,4292.0,0.0,13.0,14.0,0.0,470.0,14.0,0.0,35.0,1901.0,0.0,0.0,73.0,43.0,996.0,0.0,0.0,0.0,35.0,54.0,0.0,0.0,15.0,2.0,680.0,39.0,0.0,0,0,0,0,0
1-31,56.0,72.0,0.0,70.0,149.0,0.0,126.0,86.0,0.0,18.0,49.0,0.0,0.0,0.0,4552.0,50.0,14.0,1.0,13.0,0.0,427.0,0.0,5.0,0.0,407.0,0.0,9.0,25913.0,0.0,339.0,0.0,146.0,11.0,97.0,98.0,0.0,0.0,0.0,0.0,0.0,107.0,1.0,0,0,1,0,0
1-32,43.0,92.0,9.0,80.0,159.0,7.0,6.0,105.0,4.0,197.0,5998.0,9.0,0.0,0.0,701.0,4502.0,2771.0,15.0,51.0,35.0,2080.0,39.0,2.0,92.0,6366.0,0.0,10.0,94.0,137.0,11673.0,0.0,32.0,9.0,131.0,122.0,0.0,0.0,20.0,4.0,27.0,105.0,2.0,0,0,0,0,0
1-33,60.0,119.0,30.0,137.0,243.0,0.0,4.0,142.0,0.0,400.0,748.0,141.0,0.0,48.0,152.0,2996.0,2784.0,0.0,5522.0,0.0,274.0,64.0,0.0,60.0,7248.0,2.0,518.0,77.0,68.0,1016.0,0.0,0.0,7254.0,182.0,152.0,140.0,51.0,437.0,10.0,0.0,159.0,0.0,0,0,0,0,0
1-34,26.0,52.0,0.0,54.0,75.0,0.0,0.0,37.0,0.0,0.0,2738.0,0.0,78.0,0.0,4233.0,37.0,0.0,0.0,0.0,0.0,74.0,76.0,0.0,0.0,11305.0,0.0,1867.0,47.0,0.0,3485.0,0.0,35.0,0.0,58.0,63.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0,0,0,0,0
1-3b,56.0,66.0,0.0,89.0,180.0,0.0,0.0,101.0,0.0,209.0,9139.0,0.0,0.0,4.0,449.0,2884.0,2692.0,0.0,0.0,0.0,236.0,43.0,0.0,0.0,1746.0,25.0,6900.0,68.0,378.0,4467.0,0.0,108.0,0.0,86.0,103.0,144.0,0.0,0.0,0.0,0.0,95.0,0.0,0,0,0,0,0
1-4,0.0,14.0,5.0,0.0,68.0,0.0,0.0,16.0,8.0,50.0,2124.0,5.0,0.0,0.0,272.0,23.0,389.0,0.0,63.0,0.0,355.0,121.0,0.0,104.0,3602.0,2.0,42.0,28.0,87.0,2039.0,0.0,67.0,0.0,25.0,34.0,0.0,0.0,170.0,3.0,38.0,34.0,2.0,0,0,0,0,0
1-5,72.0,69.0,43.0,82.0,209.0,388.0,0.0,94.0,0.0,265.0,10124.0,12.0,0.0,0.0,429.0,138.0,388.0,0.0,4323.0,32.0,687.0,359.0,0.0,187.0,8786.0,4.0,1258.0,155.0,397.0,5686.0,0.0,298.0,0.0,135.0,148.0,0.0,39.0,414.0,0.0,0.0,106.0,6.0,0,0,0,0,0
1-6,75.0,70.0,2.0,70.0,159.0,38.0,8.0,92.0,2.0,88.0,5898.0,0.0,77.0,0.0,10419.0,18.0,0.0,0.0,21.0,0.0,179.0,62.0,2.0,62.0,4147.0,0.0,15.0,175.0,60.0,2453.0,36.0,69.0,0.0,123.0,123.0,44.0,0.0,0.0,0.0,4.0,116.0,2.0,0,0,1,0,0
1-7,99.0,128.0,400.0,151.0,300.0,717.0,0.0,168.0,2.0,138.0,6767.0,207.0,0.0,0.0,128.0,472.0,884.0,0.0,2524.0,260.0,1351.0,151.0,0.0,4852.0,16336.0,0.0,3.0,41.0,245.0,1699.0,0.0,0.0,9.0,213.0,184.0,471.0,34.0,161.0,4.0,4.0,210.0,2.0,0,0,0,0,0
1-8,66.0,81.0,212.0,110.0,239.0,15.0,0.0,95.0,4.0,261.0,6406.0,135.0,0.0,0.0,112.0,342.0,649.0,0.0,8431.0,41.0,1833.0,161.0,0.0,640.0,8977.0,0.0,22.0,138.0,111.0,11578.0,0.0,45.0,30.0,156.0,183.0,85.0,35.0,382.0,37.0,27.0,146.0,4.0,0,0,0,0,0
1-9,54.0,68.0,0.0,64.0,146.0,0.0,0.0,69.0,0.0,0.0,33.0,0.0,0.0,0.0,13804.0,0.0,0.0,0.0,9.0,0.0,331.0,0.0,0.0,0.0,104.0,0.0,0.0,32.0,0.0,47.0,0.0,0.0,0.0,112.0,108.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0,1,1,0,0
2-1,0.0,0.0,0.0,0.0,61.0,0.0,0.0,23.0,0.0,0.0,48.0,0.0,0.0,0.0,5376.0,0.0,0.0,0.0,0.0,0.0,124.0,13.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0,1,1,0,0
2-10,0.0,21.0,9.0,0.0,0.0,61.0,0.0,0.0,27.0,0.0,3114.0,0.0,0.0,0.0,24.0,261.0,0.0,0.0,44.0,30.0,310.0,51.0,0.0,322.0,2305.0,0.0,0.0,214.0,32.0,1369.0,0.0,0.0,0.0,31.0,0.0,168.0,0.0,0.0,4.0,203.0,0.0,3.0,0,0,0,0,1
2-11,0.0,0.0,9.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,579.0,273.0,0.0,236.0,0.0,147.0,89.0,0.0,0.0,1813.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-12,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285.0,0.0,0.0,165.0,0.0,874.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
2-13,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,45.0,809.0,0.0,0.0,0.0,59.0,0.0,317.0,0.0,0.0,0.0,0.0,69.0,4.0,0.0,1205.0,0.0,0.0,0.0,0.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0
2-14,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,875.0,0.0,6784.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
2-15,34.0,66.0,0.0,44.0,106.0,0.0,0.0,44.0,15.0,37.0,1419.0,0.0,0.0,0.0,41.0,490.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,1614.0,0.0,0.0,0.0,92.0,1445.0,0.0,0.0,0.0,85.0,59.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0,0,0,0,0
2-16,0.0,0.0,0.0,22.0,0.0,32.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,0.0,61.0,14.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-17,0.0,17.0,0.0,0.0,42.0,0.0,51.0,0.0,0.0,0.0,1614.0,0.0,0.0,13.0,45.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,20.0,0.0,2641.0,0.0,0.0,0.0,225.0,1481.0,52.0,0.0,0.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-18,20.0,33.0,0.0,35.0,60.0,0.0,0.0,30.0,0.0,189.0,325.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,105.0,24.0,0.0,0.0,2411.0,0.0,0.0,0.0,455.0,2093.0,0.0,0.0,0.0,48.0,38.0,31.0,0.0,0.0,0.0,0.0,48.0,0.0,0,0,0,0,0
2-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1182.0,0.0,4083.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2-2,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,32.0,0.0,2510.0,0.0,0.0,0.0,70.0,254.0,0.0,0.0,82.0,0.0,2607.0,0.0,136.0,464.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-20,0.0,0.0,0.0,49.0,0.0,0.0,96.0,0.0,0.0,0.0,22.0,0.0,193.0,0.0,3738.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,1078.0,0.0,0.0,654.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
2-21,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,50.0,2584.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,2443.0,0.0,125.0,19.0,0.0,0.0,3582.0,0.0,0.0,0.0,182.0,711.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,92.0,16.0,0.0,0.0,23.0,0,0,0,0,0
2-22,99.0,95.0,0.0,110.0,246.0,0.0,5.0,136.0,0.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.0,0.0,0.0,24.0,0.0,2980.0,25.0,0.0,0.0,179.0,133.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0,0,0,1,0
2-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2596.0,0.0,0.0,0.0,918.0,374.0,0.0,0.0,0.0,0.0,143.0,111.0,0.0,0.0,4233.0,0.0,288.0,0.0,0.0,3199.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,101.0,0.0,100.0,0.0,1.0,0,0,0,0,0
2-24,28.0,30.0,0.0,0.0,105.0,0.0,0.0,27.0,0.0,0.0,1360.0,0.0,0.0,0.0,21.0,42.0,1981.0,0.0,109.0,0.0,88.0,0.0,0.0,0.0,3008.0,0.0,0.0,0.0,0.0,1389.0,0.0,0.0,0.0,45.0,47.0,0.0,0.0,78.0,0.0,0.0,33.0,0.0,0,0,0,0,0
2-25,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,0.0,0.0,50.0,0.0,3737.0,0.0,0.0,0.0,0.0,144.0,26.0,0.0,0.0,1273.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,0,1,0,0,0
2-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,965.0,74.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,444.0,0.0,0.0,707.0,340.0,3217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0,0,0,0,0
2-27,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,125.0,0.0,2625.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
2-28,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,15.0,2327.0,0.0,327.0,0.0,1099.0,106.0,25.0,16.0,35.0,0.0,0.0,133.0,21.0,0.0,8493.0,0.0,45.0,0.0,0.0,3396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2-29,0.0,0.0,0.0,0.0,31.0,101.0,0.0,0.0,0.0,140.0,5954.0,0.0,0.0,0.0,414.0,7664.0,4284.0,30.0,61.0,0.0,291.0,334.0,0.0,0.0,7074.0,0.0,807.0,29.0,26.0,5980.0,0.0,558.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.0,0.0,0.0,0.0,0.0,877.0,1169.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,636.0,0.0,2460.0,40.0,0.0,1321.0,0.0,0.0,0.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.0,0.0,0.0,0.0,0.0,1929.0,62.0,11.0,11.0,0.0,278.0,20.0,0.0,0.0,1323.0,0.0,0.0,21.0,0.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,35.0,0.0,0,0,0,0,0
2-31,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,14.0,0.0,561.0,0.0,2770.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,116.0,0.0,0.0,2825.0,0.0,77.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1,0,1,0,1
2-32,0.0,0.0,3.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1531.0,0.0,0.0,0.0,123.0,540.0,1052.0,11.0,43.0,0.0,348.0,0.0,18.0,0.0,2348.0,0.0,0.0,0.0,0.0,2369.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0,0,0,0,0
2-32',74.0,46.0,0.0,74.0,153.0,0.0,0.0,81.0,0.0,0.0,1434.0,0.0,0.0,0.0,1901.0,0.0,77.0,0.0,0.0,0.0,154.0,243.0,0.0,0.0,741.0,0.0,0.0,1247.0,0.0,2670.0,520.0,0.0,0.0,96.0,65.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0,1,0,1,0
2-33,614.0,512.0,15.0,852.0,2016.0,0.0,0.0,911.0,14.0,105.0,0.0,50.0,0.0,0.0,0.0,844.0,1298.0,0.0,1356.0,0.0,190.0,72.0,0.0,0.0,1715.0,0.0,1047.0,0.0,0.0,458.0,0.0,0.0,233.0,1369.0,978.0,0.0,0.0,405.0,16.0,0.0,1291.0,14.0,0,0,0,0,0
2-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,54.0,0.0,1548.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,3583.0,0.0,89.0,0.0,0.0,490.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2-4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1634.0,8.0,0.0,0.0,125.0,0.0,210.0,0.0,54.0,0.0,365.0,253.0,0.0,0.0,3907.0,2.0,56.0,0.0,0.0,2481.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,137.0,0.0,10.0,0,0,0,0,0
2-5,0.0,0.0,0.0,0.0,0.0,73.0,0.0,36.0,13.0,139.0,1757.0,184.0,0.0,0.0,168.0,249.0,267.0,0.0,1750.0,0.0,209.0,288.0,0.0,0.0,2708.0,0.0,495.0,108.0,118.0,1170.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,9.0,0.0,5.0,0,0,0,0,0
2-6,0.0,0.0,0.0,0.0,0.0,43.0,27.0,0.0,0.0,29.0,1384.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0,83.0,18.0,0.0,0.0,3059.0,0.0,0.0,147.0,34.0,1816.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
2-7,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1024.0,246.0,0.0,0.0,0.0,236.0,348.0,0.0,703.0,67.0,273.0,119.0,0.0,503.0,750.0,0.0,0.0,62.0,0.0,1604.0,0.0,0.0,0.0,0.0,0.0,597.0,19.0,386.0,0.0,0.0,15.0,4.0,0,0,0,0,0
2-8,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,56.0,86.0,1505.0,18.0,0.0,0.0,97.0,323.0,0.0,0.0,662.0,0.0,446.0,43.0,0.0,0.0,1190.0,0.0,14.0,0.0,39.0,2724.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,582.0,71.0,901.0,0.0,21.0,0,0,0,0,1
2-9,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4365.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
3-1,916.0,664.0,0.0,1110.0,2771.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,1344.0,1235.0,0.0,0.0,0.0,0.0,0.0,1856.0,0.0,0,0,0,0,0
3-10,0.0,24.0,1.0,27.0,67.0,15.0,0.0,41.0,18.0,0.0,1760.0,0.0,0.0,0.0,95.0,777.0,0.0,0.0,77.0,0.0,264.0,0.0,0.0,0.0,2825.0,0.0,0.0,20.0,48.0,861.0,0.0,0.0,0.0,51.0,48.0,0.0,0.0,180.0,5.0,222.0,47.0,0.0,0,0,0,0,0
